lead_number,do_not_email,do_not_call,converted,total_visits,total_time_spent_on_website,page_views_per_visit,search,magazine,newspaper_article,update_me_on_upcoming_bike_rallies,newspaper,digital_advertisement,through_recommendations,receive_more_updates_about_our_accessories,update_me_on_discounts,get_updates_on_dm_content,asymmetrique_activity_score,asymmetrique_profile_score,i_agree_to_pay_the_amount_through_cheque
642510,No,No,1,3.0,534,1.5,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
642495,No,No,0,2.0,30,2.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
642490,No,No,0,9.0,1442,4.5,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
642477,No,No,0,1.0,1156,1.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
642470,No,No,0,4.0,434,4.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
642466,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
642456,No,No,1,3.0,166,1.5,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
642455,No,No,0,5.0,80,2.5,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
642452,No,No,1,2.0,1948,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
642443,No,No,0,3.0,986,3.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
642439,Yes,No,0,22.0,601,1.38,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
642435,No,No,0,5.0,448,5.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
642430,No,No,0,2.0,199,2.0,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
642410,No,No,1,5.0,786,5.0,No,No,No,No,No,No,No,No,No,No,15.0,13.0,No
642403,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,12.0,No
642394,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
642384,No,No,1,2.0,1528,2.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
642361,No,No,1,2.0,1232,2.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
642356,No,No,0,2.0,1188,1.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
642352,No,No,0,6.0,1049,6.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
642343,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
642333,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
642307,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642303,No,No,1,4.0,1219,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
642295,No,No,0,4.0,198,4.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642278,No,No,0,3.0,1334,3.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642256,No,No,0,4.0,375,4.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
642248,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642242,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
642228,No,No,0,12.0,1261,4.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
642222,No,No,1,2.0,594,1.0,No,No,No,No,No,No,No,No,No,No,15.0,13.0,No
642218,No,No,0,3.0,295,3.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
642217,No,No,0,3.0,271,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
642213,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
642205,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
642204,No,No,1,5.0,1211,2.5,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
642202,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642182,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
642180,No,No,0,3.0,1275,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
642177,No,No,1,4.0,1506,4.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642169,No,No,1,3.0,1021,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
642165,Yes,No,0,2.0,342,2.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
642146,No,No,1,2.0,681,1.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
642145,No,No,1,3.0,1264,3.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
642140,No,No,0,5.0,949,1.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
642128,No,No,0,5.0,371,2.5,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
642126,No,No,0,2.0,426,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
642120,No,No,0,3.0,491,3.0,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
642099,No,No,1,6.0,99,6.0,No,No,No,No,No,No,No,No,No,No,16.0,17.0,No
642098,No,No,1,3.0,555,1.5,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
642090,No,No,0,3.0,505,1.5,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
642089,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
642088,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
642081,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
642070,No,No,0,4.0,1732,4.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
642069,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
642061,Yes,No,0,4.0,32,4.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642056,No,No,1,11.0,1714,5.5,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
642054,No,No,0,3.0,121,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
642052,No,No,0,3.0,251,3.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
642049,No,No,0,4.0,700,4.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
642046,No,No,0,8.0,699,8.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
642032,No,No,0,3.0,597,3.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
642028,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
642018,No,No,0,7.0,8,7.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
642012,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
641985,No,No,0,4.0,360,4.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641984,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641976,No,No,0,5.0,271,1.67,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641959,No,No,1,6.0,76,3.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
641958,No,No,0,2.0,376,2.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641957,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
641955,No,No,1,2.0,1349,1.0,No,No,No,No,No,No,No,No,No,No,16.0,19.0,No
641946,No,No,1,6.0,1116,3.0,No,No,No,No,No,No,No,No,No,No,14.0,19.0,No
641940,No,No,1,3.0,370,1.5,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641934,No,No,0,3.0,131,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641925,No,No,0,2.0,2117,2.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
641916,No,No,0,10.0,85,5.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641909,No,No,1,8.0,1190,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641908,No,No,0,5.0,287,5.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
641907,No,No,0,2.0,1303,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641905,No,No,1,10.0,1026,10.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641891,No,No,1,8.0,167,4.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641875,No,No,0,3.0,759,3.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641870,Yes,No,0,5.0,75,5.0,No,No,No,No,No,No,No,No,No,No,12.0,16.0,No
641867,No,No,0,1.0,210,1.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641858,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641857,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
641850,No,No,1,3.0,845,3.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
641829,No,No,1,5.0,1,5.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641827,No,No,0,2.0,1335,2.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641826,No,No,0,2.0,51,2.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641817,No,No,1,2.0,1387,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
641781,No,No,0,30.0,68,10.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641763,No,No,0,5.0,29,5.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
641743,No,No,1,2.0,296,2.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641734,No,No,0,6.0,555,6.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641725,No,No,0,8.0,275,4.0,No,No,No,No,No,No,No,No,No,No,15.0,14.0,No
641715,No,No,1,4.0,1033,4.0,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
641709,No,No,0,3.0,226,1.5,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
641693,No,No,1,16.0,1522,2.67,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
641684,No,No,0,3.0,161,3.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
641673,No,No,0,5.0,37,2.5,No,No,No,No,No,No,No,No,No,No,12.0,18.0,No
641668,No,No,0,3.0,529,3.0,No,No,No,No,No,No,No,No,No,No,13.0,16.0,No
641663,Yes,No,0,1.0,191,1.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641652,No,No,1,3.0,1293,1.5,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641647,No,No,0,6.0,213,6.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641637,No,No,0,6.0,125,2.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641633,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,14.0,No
641626,No,No,1,2.0,1328,2.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641623,No,No,0,3.0,284,3.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641619,No,No,0,2.0,84,2.0,No,No,No,No,No,No,No,No,No,No,11.0,15.0,No
641612,No,No,0,2.0,203,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641603,Yes,No,0,2.0,102,2.0,No,No,No,No,No,No,No,No,No,No,12.0,18.0,No
641602,No,No,1,3.0,481,3.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
641585,No,No,0,9.0,195,2.25,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641584,No,No,0,5.0,231,5.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641576,No,No,1,10.0,825,5.0,No,No,No,No,No,No,No,No,No,No,16.0,18.0,No
641566,No,No,0,7.0,338,2.33,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641547,No,No,0,6.0,204,3.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641546,No,No,0,3.0,203,3.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641545,No,No,0,3.0,107,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
641543,No,No,0,4.0,221,4.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641523,No,No,0,1.0,238,1.0,No,No,No,No,No,No,No,No,No,No,16.0,14.0,No
641510,No,No,0,2.0,335,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641507,No,No,1,5.0,1383,5.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641495,No,No,1,3.0,761,3.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
641492,No,No,0,2.0,303,2.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641481,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641478,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641471,No,No,0,4.0,260,4.0,No,No,No,No,No,No,No,No,No,No,12.0,18.0,No
641468,Yes,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641467,No,No,0,2.0,738,2.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641459,No,No,0,6.0,212,6.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
641455,No,No,0,3.0,60,3.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641447,Yes,No,1,9.0,898,4.5,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641441,No,No,1,15.0,1108,3.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641424,No,No,0,4.0,355,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641414,No,No,1,7.0,842,3.5,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
641412,No,No,0,2.0,133,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641410,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641405,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
641392,No,No,0,2.0,186,2.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641386,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
641383,No,No,0,11.0,1187,11.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641375,No,No,0,5.0,48,1.67,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641366,No,No,1,11.0,1039,5.5,No,No,No,No,No,No,No,No,No,No,16.0,17.0,No
641349,No,No,1,3.0,831,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641330,No,No,0,3.0,977,3.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
641324,No,No,1,4.0,612,4.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
641322,No,No,1,3.0,170,1.5,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641312,No,No,1,6.0,1040,6.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641311,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641305,No,No,0,3.0,119,1.5,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
641291,No,No,0,7.0,255,7.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641288,No,No,1,3.0,1061,3.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641275,No,No,1,3.0,1987,3.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
641265,No,No,0,6.0,307,6.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641258,No,No,0,6.0,138,3.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641257,No,No,0,2.0,169,2.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
641251,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
641250,No,No,1,2.0,1208,2.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
641248,No,No,0,8.0,157,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641228,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641227,No,No,0,9.0,171,9.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641213,No,No,0,4.0,441,4.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
641212,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
641196,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
641173,No,No,1,6.0,1830,3.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
641170,No,No,1,2.0,1227,1.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641155,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
641149,No,No,0,3.0,275,3.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641144,No,No,0,2.0,94,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641140,No,No,0,4.0,51,4.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
641138,No,No,1,5.0,914,2.5,No,No,No,No,No,No,No,No,No,No,15.0,20.0,No
641136,No,No,0,2.0,1410,1.0,No,No,No,No,No,No,No,No,No,No,16.0,14.0,No
641129,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
641124,No,No,0,3.0,38,1.5,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
641118,No,No,0,5.0,431,2.5,No,No,No,No,No,No,No,No,No,No,16.0,17.0,No
641113,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
641110,No,No,0,4.0,61,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641108,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
641106,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
641097,No,No,0,3.0,1222,1.5,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
641093,No,No,1,9.0,747,9.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
641091,No,No,1,2.0,33,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641084,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,16.0,15.0,No
641082,No,No,0,8.0,100,2.67,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
641072,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
641066,Yes,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
641062,No,No,0,2.0,84,1.0,No,No,No,No,No,No,No,No,No,No,17.0,14.0,No
641056,No,No,0,3.0,255,3.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
641053,No,No,1,5.0,1885,1.67,No,No,No,No,No,No,No,No,No,No,14.0,12.0,No
641040,No,No,0,2.0,41,2.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
641037,No,No,1,5.0,866,5.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
641025,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641017,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
641008,No,No,1,3.0,1231,1.5,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
640995,No,No,0,5.0,216,5.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640974,No,No,1,4.0,1396,4.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
640972,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
640969,No,No,1,4.0,1696,4.0,No,No,No,No,No,No,No,No,No,No,16.0,20.0,No
640961,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640957,No,No,1,2.0,1020,2.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
640952,No,No,0,2.0,81,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
640928,Yes,No,0,3.0,1416,3.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
640921,No,No,0,1.0,362,1.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
640909,No,No,0,4.0,235,4.0,No,No,No,No,No,No,No,No,No,No,10.0,18.0,No
640896,No,No,0,2.0,530,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
640890,No,No,0,2.0,471,2.0,No,No,No,No,No,No,No,No,No,No,16.0,14.0,No
640869,No,No,0,3.0,382,1.5,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640866,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
640818,No,No,0,2.0,1419,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
640809,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
640806,No,No,0,2.0,371,2.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640799,No,No,1,8.0,567,4.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
640771,No,No,0,5.0,13,1.25,No,No,No,No,No,No,No,No,No,No,13.0,17.0,No
640766,No,No,0,3.0,420,3.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
640752,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640751,No,No,1,2.0,1043,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
640717,No,No,1,3.0,1490,3.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
640716,No,No,0,5.0,24,5.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
640714,No,No,1,13.0,1219,2.17,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
640707,No,No,0,2.0,11,2.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
640698,Yes,No,1,1.0,961,1.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
640674,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
640652,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640643,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,14.0,No
640642,No,No,0,9.0,57,1.8,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
640639,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640630,No,No,1,3.0,1228,1.5,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
640629,No,No,0,5.0,169,2.5,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640614,No,No,0,2.0,262,2.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
640598,No,No,0,3.0,82,3.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640590,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
640584,No,No,0,3.0,76,3.0,No,No,No,No,No,No,No,No,No,No,12.0,13.0,No
640577,No,No,1,4.0,1125,2.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
640576,No,No,1,5.0,321,2.5,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
640572,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640542,No,No,0,3.0,263,1.5,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640537,No,No,1,2.0,636,1.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640527,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,14.0,No
640525,No,No,1,2.0,882,2.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
640506,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640502,Yes,No,0,5.0,889,5.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
640498,No,No,0,6.0,1431,6.0,No,No,No,No,No,No,No,No,No,No,14.0,18.0,No
640494,No,No,0,2.0,216,2.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
640469,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
640459,No,No,1,6.0,1626,6.0,No,No,No,No,No,No,No,No,No,No,16.0,18.0,No
640456,No,No,0,2.0,258,1.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
640453,No,No,0,2.0,1622,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
640446,No,No,1,5.0,1591,5.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
640442,No,No,1,4.0,852,4.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
640435,No,No,0,4.0,137,4.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640421,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640415,No,No,1,3.0,96,3.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
640411,No,No,0,6.0,652,2.0,No,No,No,No,No,No,No,No,No,No,14.0,16.0,No
640398,Yes,No,0,3.0,1302,3.0,No,No,No,No,No,No,No,No,No,No,12.0,15.0,No
640391,No,No,1,11.0,900,11.0,No,No,No,No,No,No,No,No,No,No,17.0,18.0,No
640387,No,No,1,4.0,41,2.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
640385,No,No,1,10.0,1489,2.0,No,No,No,No,No,No,No,No,No,No,14.0,15.0,No
640384,No,No,0,3.0,236,1.5,No,No,No,No,No,No,No,No,No,No,10.0,15.0,No
640373,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
640364,No,No,1,3.0,694,3.0,No,No,No,No,No,No,No,No,No,No,15.0,19.0,No
640348,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640332,Yes,No,0,5.0,228,5.0,No,No,No,No,No,No,No,No,No,No,13.0,15.0,No
640331,No,No,0,3.0,1730,3.0,No,No,No,No,No,No,No,No,No,No,13.0,18.0,No
640326,No,No,0,3.0,87,3.0,No,No,No,No,No,No,No,No,No,No,12.0,16.0,No
640325,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640308,Yes,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,15.0,No
640295,No,No,1,,1212,,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
640278,No,No,1,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,15.0,16.0,No
640266,No,No,0,1.0,54,1.0,No,No,No,No,No,No,No,No,No,No,14.0,14.0,No
640258,No,No,1,2.0,114,2.0,No,No,No,No,No,No,No,No,No,No,15.0,18.0,No
640256,No,No,1,4.0,464,2.0,No,No,No,No,No,No,No,No,No,No,14.0,20.0,No
640238,No,No,0,14.0,255,7.0,No,No,No,No,No,No,No,No,No,No,15.0,17.0,No
640235,No,No,0,2.0,568,2.0,No,No,No,No,No,No,No,No,No,No,13.0,14.0,No
640222,No,No,0,0.0,0,0.0,No,No,No,No,No,No,No,No,No,No,17.0,15.0,No
640219,No,No,0,3.0,1628,1.0,No,No,No,No,No,No,No,No,No,No,14.0,17.0,No
640205,No,No,1,7.0,866,7.0,No,No,No,No,No,No,No,No,No,No,16.0,19.0,No
